,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
56,517768,کشاورزی,مشهد,909801032732.0,150.0,1399/06/18,1404/01/28 - 03:10:36,-11698.1,0.0,
57,805327,کشاورزی,نیشابور,909801034978.0,50.0,1400/07/20,1403/07/30 - 02:05:11,725.485,8306.9,1.07
58,516231,صنعتی,مشهد,909801034868.0,50.0,1400/03/25,1403/12/08 - 02:10:16,-0.002,0.0,0.5
59,603185,کشاورزی,تربت حیدریه,909801049332.0,100.0,1401/12/25,1404/01/28 - 03:10:34,197889.189,594295.6,8.66
60,514487,کشاورزی,مشهد,909801036567.0,100.0,1400/06/27,1404/01/28 - 02:10:01,-192062.14,87048.8,19.17
61,515828,شرب و بهداشت دام,مشهد,909801033194.0,50.0,1399/08/05,1403/10/05 - 02:10:29,0.0,0.0,
62,514505,کشاورزی,مشهد,909801035290.0,125.0,1400/05/05,1404/01/26 - 02:11:26,-664099.4,380298.8,25.12
63,514807,کشاورزی,مشهد,909801032635.0,80.0,1399/05/11,1404/01/28 - 02:10:31,85509.1,496534.3,21.4
64,202708,,قوچان,909801041993.0,50.0,1402/11/11,1404/01/28 - 03:09:23,14.608,0.8,0.9
65,515628,صنعتی,مشهد,909801049591.0,50.0,1401/11/24,1404/01/28 - 02:48:47,41825.639,78627.9,1.57
66,603161,کشاورزی,تربت حیدریه,909801050089.0,125.0,1402/02/30,1404/01/28 - 03:10:52,259277.6,77447.0,16.71
67,605058,کشاورزی,تربت حیدریه,909801036522.0,50.0,1400/07/10,1404/01/28 - 02:10:48,76791.22,503126.1,5.52
68,209268,کشاورزی,درگز,909801039023.0,50.0,1400/11/21,1403/07/19 - 03:10:32,23946.24,273361.8,3.37
69,514154,کشاورزی,مشهد,909801034945.0,125.0,1400/02/13,1404/01/28 - 02:10:37,373227.0,2381167.5,6.92
70,529036,کشاورزی,مشهد,909801033135.0,100.0,1399/07/19,1403/01/14 - 01:01:00,,,
71,514711,کشاورزی,مشهد,909801036263.0,150.0,1400/08/15,1400/11/14 - 02:11:03,,,
72,514711,کشاورزی,مشهد,909801039491.0,150.0,1401/01/07,1404/01/28 - 03:08:33,667065.2,5859265.8,15.38
73,805221,سایر,نیشابور,909801034850.0,50.0,1400/02/28,1404/01/28 - 01:58:23,538463.651,217379.9,1.33
74,200712,کشاورزی,قوچان,909801036701.0,100.0,1400/09/15,1401/07/19 - 02:11:32,,,
75,514422,کشاورزی,مشهد,909801034766.0,150.0,1400/02/19,1404/01/28 - 02:10:31,450411.22,790444.5,24.83
76,529072,کشاورزی,مشهد,909801035368.0,125.0,1400/04/22,1403/12/11 - 03:11:09,219658.4,1992411.9,11.22
77,515960,سایر,مشهد,909801033113.0,50.0,1399/07/22,1404/01/26 - 02:10:25,-989.87,3551.5,1.57
78,514579,کشاورزی,مشهد,909801035044.0,100.0,1400/04/01,1404/01/28 - 01:45:39,35779.4,,2.2
79,100476,شرب و بهداشت دام,سبزوار,909801047058.0,50.0,1401/08/25,1404/01/28 - 03:10:46,2853.606,9775.6,1.16
80,519684,کشاورزی,مشهد,909801034390.0,80.0,1400/04/21,1402/09/18 - 02:11:03,16235.66,371260.2,1.13
81,301144,کشاورزی,تربت حیدریه,909801035303.0,150.0,1400/03/26,1404/01/28 - 03:10:56,214985.1,860043.1,12.02
82,515854,کشاورزی,مشهد,909801036375.0,150.0,1400/07/29,1404/01/28 - 02:10:32,211157.5,739087.9,9.45
83,515855,کشاورزی,مشهد,909801036487.0,150.0,1400/08/01,1404/01/28 - 02:10:34,143983.7,1453848.6,6.5
84,514847,کشاورزی,مشهد,909801036532.0,80.0,1400/07/29,1404/01/28 - 02:10:29,32804.3,983922.6,1.9
85,515530,کشاورزی,مشهد,909801032736.0,150.0,1399/07/09,1404/01/28 - 03:08:35,-93696.4,7769.9,8.23
86,515529,کشاورزی,مشهد,909801032842.0,150.0,1399/07/09,1404/01/28 - 02:10:37,168407.9,2217.5,9.94
87,517015,صنعتی,مشهد,909801051635.0,50.0,1402/03/13,1404/01/28 - 03:10:38,3050.5,6084.9,2.38
88,515877,شرب و بهداشت دام,مشهد,909801036620.0,50.0,1400/08/04,1404/01/28 - 02:10:32,0.4,0.0,
89,603011,کشاورزی,تربت حیدریه,909801050924.0,150.0,1402/04/19,1404/01/28 - 03:09:58,324741.9,5000.6,17.77
90,102799,کشاورزی,سبزوار,909801035576.0,125.0,1400/04/10,1404/01/20 - 02:08:42,85016.1,451588.1,5.17
91,529229,کشاورزی,مشهد,909801035396.0,150.0,1400/04/13,1404/01/28 - 02:10:30,339211.6,1224266.7,14.72
92,529219,کشاورزی,مشهد,909801035564.0,150.0,1400/04/14,1404/01/28 - 02:08:37,308359.6,2051635.4,12.66
93,615431,صنعتی,تربت حیدریه,909801036730.0,50.0,1400/07/12,1404/01/28 - 02:10:34,0.0,,
94,514697,صنعتی,مشهد,909801034767.0,150.0,1400/02/16,1403/08/16 - 02:11:25,337159.4,1618984.1,17.11
95,911838,خدمات,تربت جام,909801032722.0,80.0,1399/06/11,1404/01/28 - 02:10:34,-18272.9,0.0,
96,200934,کشاورزی,قوچان,909801036488.0,150.0,1400/08/25,1404/01/28 - 03:10:32,365311.76,560710.9,16.65
97,513130,صنعتی,سرخس,909801051811.0,50.0,1402/08/18,1404/01/28 - 03:07:28,12856.0,0.0,
98,603270,کشاورزی,تربت حیدریه,909801048208.0,150.0,1401/11/17,1404/01/28 - 03:09:43,293289.1,3862.9,13.45
99,529184,کشاورزی,مشهد,909801035653.0,200.0,1400/07/11,1404/01/28 - 03:10:44,-847932.1,163877.7,5.07
100,804014,کشاورزی,نیشابور,909801039460.0,100.0,1401/05/26,1404/01/28 - 02:10:33,177547.91,333343.6,8.46
101,518716,شرب و بهداشت دام,مشهد,909801035319.0,50.0,1400/04/21,1404/01/27 - 02:10:38,98445.1,99386.7,3.58
102,514702,صنعتی,مشهد,909801034784.0,150.0,1400/02/11,1404/01/19 - 00:46:54,927954.9,1019407.4,21.19
103,519042,صنعتی,مشهد,909801034825.0,50.0,1400/02/11,1404/01/28 - 02:10:44,66170.592,188088.8,0.68
104,515709,صنعتی,مشهد,909801058313.0,150.0,1402/11/17,1404/01/28 - 03:10:59,173.247,60.5,2.26
105,806476,,مشهد,909801032974.0,150.0,1399/07/23,1404/01/28 - 03:10:31,-2176043.423,3573222.6,20.96
106,515565,صنعتی,مشهد,909801034571.0,80.0,1400/03/30,1404/01/28 - 02:08:25,66033.86,380442.8,7.8
107,517437,کشاورزی,مشهد,909801035011.0,50.0,1400/06/24,1401/09/24 - 02:11:36,,,
108,608518,شرب و بهداشت دام,کاشمر,909801052621.0,50.0,1402/05/03,1404/01/28 - 03:10:38,6659.74,26521.2,0.63
109,603020,کشاورزی,تربت حیدریه,909801036609.0,150.0,1400/08/05,1402/10/03 - 02:02:55,1911913.1,1316895.3,21.41
110,603019,کشاورزی,تربت حیدریه,909801036610.0,150.0,1400/09/07,1404/01/28 - 02:03:21,425980.3,1011939.9,27.32
111,603017,کشاورزی,تربت حیدریه,909801036611.0,150.0,1402/04/26,1404/01/28 - 02:10:46,164921.5,4760.8,24.11
112,603015,کشاورزی,تربت حیدریه,909801036715.0,200.0,1400/09/08,1404/01/28 - 02:07:46,16766658.9,18656094.4,18.61
113,603016,کشاورزی,تربت حیدریه,909801036740.0,200.0,1400/09/09,1404/01/28 - 03:10:16,-267014.6,92085.4,15.09
114,222222,,مشهد,909801032305.0,50.0,1399/03/25,1404/01/28 - 02:10:50,0.0,,
115,انبار امامیه,,مشهد,909801065449.0,150.0,1403/07/09,,,,
116,ایستگاه صدف,,مشهد,909801065297.0,100.0,1403/07/11,,,,
117,تصفیه خانه سد دوستی,,مشهد,909801065442.0,200.0,1403/07/18,,,,
118,علمک اباصلت,,مشهد,909801058491.0,200.0,1403/07/24,,,,
119,323234,,بجستان,909801044790.0,100.0,1401/06/08,,,,
120,323233,,بجستان,909801044791.0,100.0,1401/06/08,,,,
121,515151,,بجستان,909801044808.0,80.0,1401/08/10,,,,
122,323232,,بجستان,909801044809.0,80.0,1401/06/08,,,,
123,515152,,بجستان,909801044827.0,200.0,1401/08/11,,,,
124,402121980430,,بجستان,402121980430.0,100.0,1398/08/14,,,,
125,401121980430,,بجستان,401121980430.0,100.0,1398/08/14,,,,
126,313132,,تایباد,909801044753.0,150.0,1401/08/30,,,,
127,313135,,تایباد,909801044754.0,150.0,1401/09/03,,,,
128,313133,,تایباد,909801044755.0,150.0,1401/09/01,,,,
129,313131,,تایباد,909801044756.0,150.0,1401/08/29,,,,
130,313134,,تایباد,909801046947.0,150.0,1401/09/02,,,,
131,46978,,مشهد,909801046978.0,100.0,1402/05/22,1403/03/29 - 10:43:23,80278.63,2721.8,8.4
132,601041,شرب روستایی,تربت حیدریه,909801056294.0,100.0,1403/06/24,1404/01/28 - 03:10:38,0.0,,
133,601621980416,کشاورزی,طرقبه,601621980416.0,150.0,1398/08/14,1404/01/25 - 01:01:16,,,
134,618408,,کاشمر,909801061845.0,80.0,1403/08/29,1404/01/28 - 03:06:45,0.0,0.0,
135,212140,,ریوش,909801041735.0,100.0,1401/04/06,,,,
136,شهرک صنعتی,,فیروزه,909801045461.0,100.0,1402/05/21,1403/02/26 - 01:55:34,23291.758,23273.7,5.38
137,مخزن بتو,,فیروزه,909801045467.0,100.0,1401/10/15,1404/01/28 - 01:57:02,507927.2,2492496.4,7.49
138,مخزن سلیمانی,,فیروزه,909801046094.0,150.0,1402/07/01,1402/11/01 - 02:01:56,11562.214,758.0,7.66
139,200354,,قوچان,909801045556.0,150.0,1401/12/06,,,,
140,201265,,قوچان,909801045560.0,150.0,1401/12/07,,,,
141,555555,,مشهد,909801033691.0,100.0,1399/09/30,1403/06/05 - 02:22:28,-22866.78,10.5,1.8
142,479654,,مشهد,929801000739.0,15.0,1403/07/29,1404/01/27 - 13:48:52,,,
143,917062,,مشهد,929801000738.0,15.0,1403/07/14,1404/01/27 - 13:54:41,,,
144,319197,,مشهد,929801001425.0,15.0,1403/12/29,1404/01/28 - 14:18:19,,,
145,560142,,مشهد,929801000685.0,15.0,1403/07/28,1404/01/25 - 13:51:53,,,
146,۴۰۰۹۷۲۴۴,,مشهد,929801000684.0,15.0,1403/07/14,1404/01/27 - 13:37:26,,,
147,930639,,مشهد,929801000541.0,15.0,1403/08/09,1404/01/27 - 13:52:08,,,
148,479657,,مشهد,929801000711.0,15.0,1403/07/30,1404/01/27 - 13:50:57,,,
149,160172980701,,نیشابور,160172980701.0,400.0,1398/08/14,1404/01/28 - 00:30:21,,,
150,100172980628,,نیشابور,100172980628.0,250.0,1398/08/14,1401/02/11 - 23:10:33,,,
151,چاه شماره 13,,کاشمر,909801036056.0,150.0,1400/06/14,1404/01/28 - 01:09:48,621510.0,1697594.5,29.1
152,مخزن کسرینه,,کاشمر,909801048332.0,250.0,1402/08/17,,,,
153,مخزن کسرینه 2,,کاشمر,909801048550.0,250.0,1402/03/17,1404/01/28 - 02:28:30,487109.8,258574.6,29.39
154,چاه C,,کاشمر,909801048606.0,200.0,1401/12/12,1403/02/28 - 03:10:37,16705.49,118.8,36.74
155,چاه D,,کاشمر,909801048607.0,200.0,1401/12/11,1403/12/08 - 02:21:50,265063.48,206316.2,14.21
156,چاه G,,کاشمر,909801048608.0,200.0,1401/12/14,1404/01/28 - 02:25:37,547309.64,47081.5,29.6
157,چاه K,,کاشمر,909801048609.0,200.0,1401/12/11,1403/08/14 - 02:39:47,563887.042,16308.0,32.32
158,پمپاژ چاه D,شرب شهری,کاشمر,909801048650.0,150.0,1401/12/22,1404/01/28 - 02:21:12,111259.673,1720.7,20.14
159,بهاریه 2,شرب روستایی,کاشمر,909801048651.0,150.0,1402/01/19,1404/01/28 - 02:06:21,413938.26,126013.4,22.39
160, تبادل چاه شماره 6,شرب شهری,کاشمر,909801048652.0,150.0,1401/12/23,1404/01/28 - 02:24:46,78443.219,372787.2,6.06
161,بهاره 2 مخزن 2,,کاشمر,909801048653.0,150.0,1402/01/21,1404/01/28 - 02:20:24,406691.6,213888.5,22.3
162,بهاریه 2 مخزن شماره 1,,کاشمر,909801048654.0,150.0,1402/01/20,1404/01/28 - 02:22:15,510878.8,237836.4,27.22
163,بهاریه 3,شرب روستایی,کاشمر,909801048655.0,150.0,1402/01/15,1404/01/28 - 02:19:39,394324.3,38765.0,27.46
164,چاه بهاریه 1,شرب روستایی,کاشمر,909801048656.0,150.0,1401/12/22,1404/01/28 - 03:10:27,724544.207,187463.9,17.52
165,چاه حاجی آباد,,کاشمر,909801048679.0,80.0,1401/12/14,1404/01/28 - 02:20:21,802.205,73.7,2.1
166,چاه F,,کاشمر,909801048882.0,200.0,1401/12/13,1404/01/28 - 02:14:34,619388.56,99767.7,35.27
167,چاه شماره 6,شرب شهری,کاشمر,909801048883.0,200.0,1401/12/23,1404/01/28 - 02:11:46,506143.476,67567.8,32.33
168,چاه شماره 10,شرب شهری,کاشمر,909801048884.0,200.0,1401/12/24,1404/01/28 - 02:22:30,300329.171,170818.8,16.28
169,چاه شماره 9,شرب شهری,کاشمر,909801048885.0,200.0,1401/12/21,1404/01/28 - 02:20:22,292728.16,31964.3,25.97
170,چاه فرگ,شرب روستایی,کاشمر,909801049011.0,100.0,1401/12/21,1404/01/28 - 03:10:40,184996.083,49140.4,14.31
171,فروتقه,,کاشمر,909801049012.0,100.0,1402/01/18,1404/01/28 - 02:27:02,162637.0,238731.0,8.56
172,چاه نای,شرب روستایی,کاشمر,909801049013.0,100.0,1402/01/16,1403/11/25 - 13:14:10,22627.51,10033.4,5.57
173,چاه حوضک,,کاشمر,909801049014.0,100.0,1401/12/15,1404/01/28 - 02:11:47,15559.322,921.6,4.56
174,عشرت آباد,,کاشمر,909801049015.0,100.0,1402/01/17,1403/05/26 - 02:51:52,100790.7,325214.2,5.78
175,ممر آباد,,کاشمر,909801049016.0,100.0,1402/01/22,1404/01/28 - 02:24:08,99754.82,156900.3,6.55
176,چاه فرشه,شرب روستایی,کاشمر,909801049017.0,100.0,1402/01/15,1404/01/28 - 02:11:30,98035.45,33767.4,5.6
177,قوچ پلنگ,,کاشمر,909801049018.0,100.0,1402/01/16,1404/01/28 - 02:31:36,86336.49,142520.9,4.27
178,چاه مغان,,کاشمر,909801052978.0,150.0,1402/10/06,1404/01/28 - 03:13:15,6535.329,312.9,6.19
179,چاه کسرینه 2,,کاشمر,909801052979.0,150.0,1402/10/05,1404/01/28 - 02:39:41,129841.9,3391.2,30.55
180,آب و فاضلاب کاشمر فرگ2,,کاشمر,909801058595.0,100.0,1403/04/14,1403/08/26 - 09:55:01,,,
181,109264,صنعتی,سبزوار,909801032336.0,100.0,1399/03/31,1403/03/17 - 01:27:44,,,
182,زندان مرکزی,صنعتی,مشهد,909801039073.0,50.0,1403/10/03,1404/01/28 - 03:03:28,1159.017,13948.0,2.82
183,زندان مرکزی,صنعتی,مشهد,909801059514.0,80.0,1403/01/05,1404/01/28 - 03:10:51,0.0,,
184,خروجی مخزن باهنر300,,تربت حیدریه,909801065992.0,300.0,1403/09/17,,,,
185,خروجی مخزن قندشتن,,تربت حیدریه,909801068075.0,300.0,1403/08/24,,,,
186,ورودی مخزن 5000,,تربت حیدریه,909801065521.0,350.0,1403/08/27,,,,
187,چاه کاج درخت,,تربت حیدریه,909801067286.0,150.0,1403/09/21,,,,
188,چاه گوجی 4,,تربت حیدریه,909801064465.0,150.0,1403/09/21,,,,
189,خروجی مخزن عباس آباد,,تربت حیدریه,909801067289.0,400.0,1403/12/02,,,,
190,خروجی مخزن ولیعصر300,,تربت حیدریه,909801068132.0,300.0,1403/09/07,,,,
191,خروجی پمپاژ مدرس,,تربت حیدریه,909801065305.0,250.0,1403/09/11,,,,
192,مخزن 2000 ولیعصر,,تربت حیدریه,909801066441.0,400.0,1403/08/30,,,,
193,ورودی5000 به مخزن قندشتن,,تربت حیدریه,909801065220.0,250.0,1403/08/20,,,,
194,ورودی مخزن باهنر,,تربت حیدریه,909801068102.0,300.0,1403/09/13,,,,
195,ورودی پمپاژ به باهنر,,تربت حیدریه,909801067988.0,300.0,1403/09/18,,,,
196,ورودی 250 مخزن قندشتن,,تربت حیدریه,909801065282.0,250.0,1403/08/15,,,,
197,چاه آبرود9,,تربت حیدریه,909801062514.0,150.0,1403/08/16,,,,
198,چاه شادمهر,,تربت حیدریه,909801067111.0,150.0,1403/09/06,,,,
199,چاه شماره 1 ازغند,,تربت حیدریه,909801067113.0,150.0,1403/09/05,,,,
200,چاه شماره 1 بهارستان,,تربت حیدریه,909801065447.0,150.0,1403/08/12,,,,
201,چاه شماره2 ازغند,,تربت حیدریه,909801067108.0,150.0,1403/09/05,,,,
202,چاه شماره 2 اسفیوخ,,تربت حیدریه,909801065898.0,200.0,1403/08/17,,,,
203,چاه شماره 3 ازغند,,تربت حیدریه,909801067110.0,150.0,1403/09/05,,,,
204,چاه شماره 3 اسفیوخ,,تربت حیدریه,909801067283.0,150.0,1403/09/20,,,,
205,چاه شماره 3 بهارستان,,تربت حیدریه,909801065298.0,100.0,1403/08/07,,,,
206,چاه شماره 3 جعفر آباد,,تربت حیدریه,909801064469.0,150.0,1403/10/24,,,,
207,چاه شماره 5 ازغند,,تربت حیدریه,909801067285.0,150.0,1403/09/04,,,,
208,چاه شماره 2 بهارستان,,تربت حیدریه,909801065744.0,150.0,1403/08/14,,,,
209,چاه شماره 4 ازغند,,تربت حیدریه,909801067112.0,150.0,1403/09/06,,,,
210,چاه شماره 6 اسفیوخ,,تربت حیدریه,909801065300.0,100.0,1403/08/13,,,,
211,چاه فلمن,,تربت حیدریه,909801065745.0,150.0,1403/09/04,,,,
212,چاه منصوریه2,,تربت حیدریه,909801067323.0,150.0,1403/08/28,,,,
213,چاه منصوریه1,,تربت حیدریه,909801067322.0,150.0,1403/08/28,,,,
214,چاه گوجی 1,,تربت حیدریه,909801067324.0,150.0,1403/08/23,,,,
215,چاه گوجی روستایی,,تربت حیدریه,909801067325.0,150.0,1403/08/19,,,,
216,چاه گوجی 3,,تربت حیدریه,909801067107.0,150.0,1403/08/23,,,,
217,80143,,مشهد,929801000665.0,15.0,1403/08/09,1403/12/19 - 00:03:05,,,
218,806415,,نیشابور,909801048202.0,150.0,1401/11/05,1403/11/09 - 03:13:00,-126609.3,0.0,
219,806416,شرب شهری,نیشابور,909801048203.0,150.0,1401/11/05,1404/01/28 - 03:10:51,-193559.9,0.0,
220,806412,,نیشابور,909801048207.0,150.0,1401/11/05,1404/01/28 - 03:10:43,-267345.5,0.0,
221,806414,شرب شهری,نیشابور,909801048288.0,150.0,1401/11/05,1404/01/28 - 03:07:39,-187177.4,0.0,
222,806413,شرب شهری,نیشابور,909801048289.0,150.0,1401/11/05,1404/01/28 - 03:10:35,-238710.2,0.0,
223,805588,,نیشابور,909801068275.0,150.0,1403/11/29,1404/01/27 - 03:12:44,,,
224,804617,,نیشابور,909801068311.0,150.0,1403/11/29,1404/01/28 - 03:10:48,,,
225,چاه شماره 13,,مشهد,909801048296.0,200.0,1403/06/13,1404/01/28 - 03:07:14,,,
226,چاه شماره 14,,مشهد,909801048298.0,200.0,1403/06/13,1404/01/28 - 03:09:57,,,
227,چاه شماره 12,,مشهد,909801048299.0,200.0,1403/06/13,1403/08/10 - 03:10:39,,,
228,بیمارستان سجادیه,,تربت جام,909801058527.0,50.0,1402/10/21,1404/01/28 - 03:11:08,3894.187,21309.3,0.76
229,805438,کشاورزی,نیشابور,909801044474.0,50.0,1401/06/08,1403/08/14 - 02:10:32,0.0,0.0,
230,اذر مختاری,,طرقبه,929801000645.0,15.0,1403/12/21,1404/01/27 - 13:54:22,,,
231,516682,صنعتی,مشهد,909801034981.0,50.0,1400/03/29,1401/06/24 - 01:56:14,,,
232,517680,صنعتی,مشهد,909801057810.0,50.0,1403/02/11,1404/01/28 - 03:09:56,0.0,,
233,517831,صنعتی,مشهد,909801037822.0,80.0,1401/05/15,1403/04/19 - 02:10:26,2164.101,9396.3,0.83
234,514804,کشاورزی,مشهد,909801048239.0,100.0,1402/03/28,1404/01/28 - 03:10:28,1236.167,321.6,4.24
235,806494,,نیشابور,909801048266.0,80.0,1402/04/13,1404/01/28 - 03:10:38,-7913.7,0.0,
236,517913,,مشهد,909801035014.0,50.0,1400/08/06,1404/01/28 - 02:10:32,25362.47,97742.0,4.25
237,529109,کشاورزی,مشهد,909801033383.0,150.0,1399/09/09,1403/08/06 - 02:10:26,22548944.0,1074344.5,33.75
238,529293,,مشهد,909801033397.0,150.0,1399/09/09,1404/01/12 - 02:03:18,1228859.9,227199.9,22.37
